search_string,unique_name,approximate_match,ott_id,is_synonym,flags,number_matches,corrected_name
leopardus jacobitus,Leopardus jacobita,FALSE,904397,TRUE,,1,Leopardus_jacobita
lissonycteris angolensis,Myonycteris angolensis,FALSE,687492,TRUE,,1,Myonycteris_angolensis
makalata grandis,Toromys grandis,FALSE,439346,TRUE,,1,Toromys_grandis
makalata occasius,Pattonomys occasius,FALSE,3609823,TRUE,,1,Pattonomys_occasius
makalata rhipidura,Toromys rhipidurus,FALSE,3609806,TRUE,,1,Toromys_rhipidurus
microhydromys musseri,Neacomys musseri,FALSE,48240,TRUE,,1,Neacomys_musseri
micromurexia habbema,Murexia habbema,FALSE,304008,TRUE,,1,Murexia_habbema
monachus schauinslandi,Neomonachus schauinslandi,FALSE,180367,TRUE,,1,Neomonachus_schauinslandi
monachus tropicalis,Neomonachus tropicalis,FALSE,3612943,TRUE,,1,Neomonachus_tropicalis
murexechinus melanurus,Murexia melanurus,FALSE,303997,TRUE,,1,Murexia_melanurus
murina grisea,Harpiola grisea,FALSE,3613626,TRUE,,1,Harpiola_grisea
neophascogale lorentzi,Neophascogale lorentzii,FALSE,1029247,TRUE,,1,Neophascogale_lorentzii
niviventer langbianis,Chiromyscus langbianis,FALSE,887565,TRUE,,1,Chiromyscus_langbianis
oryzomys albigularis,Nephelomys albigularis,FALSE,509370,TRUE,,1,Nephelomys_albigularis
oryzomys alfaroi,Handleyomys alfaroi,FALSE,509365,TRUE,,1,Handleyomys_alfaroi
oryzomys angouya,Sooretamys angouya,FALSE,1039661,TRUE,,1,Sooretamys_angouya
oryzomys auriventer,Nephelomys auriventer,FALSE,3608332,TRUE,,1,Nephelomys_auriventer
oryzomys balneator,Oreoryzomys balneator,FALSE,541877,TRUE,,1,Oreoryzomys_balneator
oryzomys bolivaris,Transandinomys bolivaris,FALSE,781352,TRUE,,1,Transandinomys_bolivaris
oryzomys caracolus,Nephelomys caracolus,FALSE,3608289,TRUE,,1,Nephelomys_caracolus
oryzomys devius,Nephelomys devius,FALSE,3608322,TRUE,,1,Nephelomys_devius
oryzomys emmonsae,Euryoryzomys emmonsae,FALSE,744,TRUE,,1,Euryoryzomys_emmonsae
oryzomys galapagoensis,Aegialomys galapagoensis,FALSE,509361,TRUE,,1,Aegialomys_galapagoensis
oryzomys hammondi,Mindomys hammondi,FALSE,770632,TRUE,,1,Mindomys_hammondi
oryzomys keaysi,Nephelomys keaysi,FALSE,3608301,TRUE,,1,Nephelomys_keaysi
oryzomys lamia,Euryoryzomys lamia,FALSE,634758,TRUE,,1,Euryoryzomys_lamia
oryzomys laticeps,Hylaeamys laticeps,FALSE,874893,TRUE,,1,Hylaeamys_laticeps
